timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
404,140.95113,18.543386,351.5765,45.776222
405,141.21542,18.158033,356.49124,46.21836
406,141.88126,18.079456,361.44815,46.63774
407,142.34427,17.71524,366.44272,47.03403
408,142.9036,17.765917,371.46997,47.40521
409,143.7617,17.552486,376.52597,47.748253
410,144.69557,17.785185,381.6089,48.06016
411,144.99866,17.707563,386.71857,48.338867
412,145.715,17.376587,391.8552,48.58363
413,146.71272,17.570189,397.01852,48.794884
414,147.73573,18.236458,402.20605,48.973618
415,148.29745,18.332676,407.4129,49.120712
416,149.11368,18.389725,412.6319,49.236115
417,150.04236,18.374123,417.8543,49.318207
418,151.19815,18.604532,423.07098,49.363564
419,151.96138,19.087471,428.27408,49.367294
420,152.51071,19.45634,433.45746,49.323833
421,152.889,19.505651,438.61786,49.228153
422,153.67416,19.833218,443.75473,49.076736
423,154.2962,19.88732,448.86978,48.868088
424,154.88792,20.262096,453.96606,48.602867
425,155.43494,20.476751,459.04727,48.283432
426,155.25975,20.222261,464.11627,47.913296
427,155.94649,20.206675,469.1748,47.496704
428,156.4035,20.398544,474.22247,47.03813
429,156.63675,19.886839,479.25668,46.54225
430,156.9632,20.24173,484.27246,46.013348
431,157.14859,20.285015,489.2622,45.455124
432,157.26596,19.949055,494.21622,44.870274
433,157.06023,19.66277,499.1231,44.260334
434,157.41846,19.72247,503.971,43.625774
435,157.42795,19.302692,508.7496,42.96635
436,156.94286,19.304232,513.4509,42.281803
437,157.48346,19.721582,518.0708,41.572712
438,157.23863,19.508183,522.6083,40.84146
439,156.3563,19.15801,527.0653,40.092857
440,155.43022,18.773718,531.4459,39.334503
441,154.95038,19.015306,535.755,38.575974
442,154.4467,18.92242,539.9975,37.827446
443,153.18806,17.822235,544.17725,37.098064
444,152.20876,17.37152,548.2959,36.394215
445,151.72748,17.717188,552.3534,35.718643
446,150.89859,17.715437,556.3471,35.070488
447,149.82492,17.725483,560.2738,34.445633
448,148.75545,17.30564,564.13074,33.838024
449,148.33192,17.87676,567.9173,33.24078
450,148.5964,18.219833,571.6356,32.647984
451,147.80399,17.693264,575.2909,32.056087
452,147.74509,18.183363,578.89075,31.464638
453,147.07077,18.125504,582.443,30.876043
454,146.58932,17.786963,585.9551,30.29449
455,146.30142,17.583899,589.4327,29.724434
456,146.00754,17.777025,592.8788,29.169552
457,146.0437,18.33593,596.2951,28.63234
458,145.95364,18.151907,599.68115,28.114632
459,145.51196,17.669455,603.03467,27.618412
460,145.38664,17.639704,606.351,27.146074
461,145.1561,18.012867,609.62396,26.700106
462,145.05952,17.4492,612.8459,26.281866
463,144.55771,16.930315,616.0093,25.890203
464,143.09567,16.46516,619.1071,25.520807
465,142.94586,16.511326,622.1339,25.166206
466,142.15489,16.293726,625.0856,24.81724
467,141.17708,15.808148,627.95917,24.465107
468,139.99564,15.857955,630.7535,24.103477
469,138.66891,15.626615,633.46765,23.729671
470,137.98404,15.618111,636.1018,23.344568
471,137.19492,15.936724,638.6566,22.951082
472,135.44942,15.575273,641.1339,22.552147
